	SYMBOL	adj.P.Val	FC	CHR	CHRLOC	mean.NF	mean.WD
201696_at	SRSF4	3.31252961891748e-13	-1.7568029123906	chr1	29474390	775.114744252174	441.207570174974
205539_at	AVIL	4.16014223444348e-13	11.0694696359575	chr12	58191442	18.9955088731648	210.270208691059
204183_s_at	ADRBK2	4.80486554472147e-13	-2.95038667945396	chr22	26118255	23.3712359155979	7.92141453130586
203407_at	PPL	5.05746386222452e-13	-20.8243337531787	chr16	4932513	199.992989968882	9.60381217182295
210375_at	PTGER3	8.19265219404834e-13	-7.68211179393635	chr1	71512363	136.015110415569	17.7054323165315
215076_s_at	COL3A1	8.19265219404834e-13	2.98870845031168	chr2	189874343	9006.65527391964	26918.266726208
203244_at	PEX5	8.19265219404834e-13	-1.99743003736826	chr12	7363178	437.477011745739	219.019942406664
212325_at	LIMCH1	8.19265219404834e-13	-4.21038890971758	chr4	41699231	112.05638817226	26.6142607191546
212414_s_at	SEPT6	1.08234778641053e-12	3.78707072580936	chrX	118752931	129.457052896289	490.26301527309
217373_x_at	MDM2	1.18148983316273e-12	25.8630332383267	chr12	69202991	7.89999565142379	204.31785011541
213485_s_at	ABCC10	1.22017590164732e-12	3.22232040614153	chr6	43399879	31.0546508878314	100.068035261461
213515_x_at	HBG2	1.22570738366681e-12	-6.94559388590501	chr11	5274419	51.8601861394101	7.46663093053168
204184_s_at	ADRBK2	1.26183084656149e-12	-3.24860325751494	chr22	26118255	99.578460039272	30.6526996822153
212225_at	EIF1	1.27480520401721e-12	-5.63140317926652	chr17	39845136	124.996469282468	22.1963275054918
218480_at	AGBL5	1.2878385243253e-12	-1.8822813524993	chr2	27278549	13.9641345542645	7.41872862721764
204505_s_at	DMTN	1.54183534163518e-12	-4.30014512686699	chr8	21938860	54.9648110247298	12.7820827909537
218252_at	CKAP2	1.89209233024557e-12	4.09183767346135	chr13	53049029	11.5712028748351	47.3474838505143
206930_at	GLYAT	1.94273130400301e-12	-7.08869403178302	chr11	58477560	54.3111672413759	7.66166052560107
205334_at	S100A13;S100A1	2.27549647609775e-12	-4.18342022309948	chr1	153604173	95.8137476920886	22.9032089970393
203024_s_at	C5orf15	2.28273621528703e-12	2.13119453765252	chr5	133291200	430.267498794282	916.983743159786
203325_s_at	COL5A1	2.42606675626e-12	5.20035039063273	chr9	137734002	236.894940177667	1231.93669469185
205141_at	RNASE4;ANG;RP11-903H12.3	2.50143372065364e-12	-4.28855521910292	chr14	21161611	150.697936072441	35.1395582832122
202021_x_at	EIF1	2.50590190978968e-12	-1.81701746716576	chr17	39847033	14932.9400423164	8218.38001679166
209458_x_at	HBA1	3.80736097220401e-12	-9.06288301578777	chr16	226927	26882.4224916925	2966.21091156782
204773_at	IL11RA	4.33920511526502e-12	6.7099506852057	chr9	34661478	85.5812478800529	574.245952853521
211699_x_at	HBA1	4.49831773448783e-12	-10.845674051723	chr16	226927	30965.2579034548	2855.07915467323
202467_s_at	COPS2	4.55942657186874e-12	-1.74292431844976	chr15	49419728	1341.37573028118	769.612149008439
212489_at	COL5A1	5.07762077127388e-12	5.77418859811726	chr9	137734331	228.854201587851	1321.4473214398
212488_at	COL5A1	5.43389064463862e-12	5.62721857350842	chr9	137734331	334.700259704344	1883.43151796637
219628_at	ZMAT3	5.828636596926e-12	4.43398718017601	chr3	178741526	56.8483077254278	252.064667669248
205386_s_at	MDM2	6.03004568826308e-12	7.21424538716371	chr12	69233053	7.90088180461268	56.9989001134525
208674_x_at	DDOST	7.25056385156652e-12	1.83522432075999	chr1	20978307	450.420671913949	826.622971669534
205428_s_at	CALB2	7.43307627464837e-12	-8.23563631489846	chr16	71423651	1331.6935346747	161.698924497871
204018_x_at	HBA1	7.43307627464837e-12	-8.39219725069571	chr16	227281	30491.6050873891	3633.32798032855
211745_x_at	HBA1	7.5932924174093e-12	-8.44230988030064	chr16	227281	29926.0482155307	3544.77016833512
219279_at	DOCK10	7.75646025446719e-12	4.22088035886925	chr2	225629806	11.7840886649587	49.7392283930979
214744_s_at	NA	7.96933205357614e-12	-2.56833287655012	NA	NA	18.6871965157476	7.27600253314862
218032_at	SNN	9.41537948068093e-12	-2.22222057146958	chr16	11771426	927.566731342328	417.405339168882
201852_x_at	COL3A1	1.02930427949259e-11	3.06475637261025	chr2	189876353	8138.32568814954	24941.985515134
209774_x_at	CXCL2	1.15176214431238e-11	-16.0071590413769	chr4	74962872	2365.23718253341	147.76120961999
206702_at	TEK	1.28653328627002e-11	-2.71678631340095	chr9	27229836	112.113753297352	41.2670487716806
217414_x_at	HBA2	1.62808924668254e-11	-9.83451672218348	chr16	223473	27444.4872655564	2790.62896945922
200664_s_at	DNAJB1	1.76050328998549e-11	-3.48810938039594	chr19	14625789	1251.76811726008	358.867220246972
217744_s_at	PERP	2.03295198330993e-11	-5.02981293895658	chr6	138412734	31.6378837638406	6.29007164835115
219738_s_at	PCDH9	2.12402401805824e-11	-3.56915569278467	chr13	67799536	24.3394865914946	6.81939615038336
209116_x_at	HBB	2.15845008573015e-11	-10.9539974250538	chr11	5247806	23905.5014005638	2182.35411904402
203226_s_at	TSPAN31;CDK4	2.61530860673439e-11	9.47824239082506	chr12	58140998	92.5600476331992	877.306567173775
208949_s_at	LGALS3	2.61530860673439e-11	-2.36864062663195	chr14	55604762	10051.4331731701	4243.54503598233
212521_s_at	PDE8A	2.68661581713609e-11	-2.17552242303162	chr15	85681027	223.100221175193	102.550182343926
201663_s_at	SMC4;TRIM59	2.83911663819632e-11	3.48655300934864	chr3	160151444	18.3057652467159	63.8240209093668
211956_s_at	EIF1	3.21364549179117e-11	-1.34137260071504	chr17	39847033	22691.7250870054	16916.7948375486
203410_at	AP3M2	3.21364549179117e-11	2.02210686294763	chr8	42026478	37.7904880580631	76.4164052563498
205108_s_at	APOB	3.21764905595093e-11	-3.26760733722173	chr2	21227951	15.3489972864618	4.69731999668974
218881_s_at	FOSL2	3.34845769801527e-11	-4.23831668800349	chr2	28635790	31.9123045147429	7.52947617271505
202311_s_at	COL1A1	3.39058008017087e-11	13.1243639059263	chr17	48260649	108.704690815232	1426.6799205403
212666_at	SMURF1	3.47464336153069e-11	-2.31630377664809	chr7	98626405	70.6900287592751	30.5184619875594
203554_x_at	PTTG1	3.7026437058713e-11	6.71235713221722	chr5	159849715	10.6840102249301	71.7148922339911
218864_at	TNS1	3.85001176246323e-11	-3.40952377634531	chr2	218667501	63.0927327628076	18.5048519680473
208591_s_at	PDE3B	4.26800673031282e-11	-7.89644365509494	chr11	14665621	108.597312689905	13.7526863273236
202404_s_at	COL1A2	4.39880798363073e-11	5.74382318210207	chr7	94059558	1790.35008733379	10283.4543357063
204023_at	RFC4	4.71188389599921e-11	3.64233443825351	chr3	186524078	15.2052958295792	55.3827726439087
218988_at	SLC35E3	4.73878980197282e-11	8.67456094511885	chr12	69158737	94.2454298408649	817.537724953503
213743_at	CCNT2	5.02655059460992e-11	2.77534208869589	chr2	135714333	36.920514501984	102.467057833663
823_at	CX3CL1	5.02655059460992e-11	-3.56434454679917	chr16	57415941	190.929505367037	53.5665121202981
204421_s_at	FGF2	6.58173531019391e-11	-4.21053609747425	chr4	123815068	93.4045679756084	22.1835333585285
217232_x_at	HBB	6.83396386809142e-11	-9.11338461422203	chr11	5247806	19159.1119190971	2102.3047671222
213653_at	METTL3	6.94904831971084e-11	2.55169616022829	chr14	21967408	49.1530533980669	125.423657619343
204223_at	PRELP	7.43077088726957e-11	-10.7556144858016	chr1	203452296	1019.4392602153	94.7820565306667
222083_at	GLYAT	9.5014174589013e-11	-8.90025755052718	chr11	58477113	113.342755021664	12.7347724914938
203417_at	MFAP2	1.10359760635664e-10	6.70398239051181	chr1	17301150	42.5099633919895	284.986046001199
211696_x_at	HBB	1.32116441620208e-10	-7.5587547781877	chr11	5246725	18586.8584011074	2458.98417749223
211832_s_at	MDM2	1.35383998844174e-10	6.37793370134035	chr12	69233053	7.40521141696945	47.2299474618399
211506_s_at	IL8	1.52792599364035e-10	-15.4958017353982	chr4	74607258	104.741746246813	6.75936282841973
209875_s_at	SPP1	1.5557329250225e-10	14.2754384915056	chr4	88903643	103.121320836513	1472.10207276444
219414_at	CLSTN2	1.69991974217286e-10	-4.31490776458407	chr3	140284894	36.9237047675317	8.55724079911842
202649_x_at	RPS19	1.79365838515775e-10	1.66820984165935	chr19	42373100	7681.89823231635	12815.0182337758
206174_s_at	PPP6C	1.95007441213121e-10	-2.0973995589715	chr9	127911821	649.788051285387	309.806516600977
214298_x_at	SEPT6	1.96742878183796e-10	3.02944821555872	chrX	118752129	30.199812842791	91.4887691268004
202619_s_at	PLOD2	2.10524370921358e-10	-4.70961428689173	chr3	145787710	630.927310110062	133.965813690119
206360_s_at	SOCS3	2.27913128288235e-10	-3.9500688195034	chr17	76354432	180.13319802461	45.6025467544274
52164_at	C11orf24	2.33965618284426e-10	1.90355918205033	chr11	68028802	69.7823153940223	132.834767213023
214414_x_at	HBA2	2.34180385993651e-10	-7.55176332191937	chr16	223524	26346.332829913	3488.76569707121
219298_at	ECHDC3	2.45835629050484e-10	-13.8564458484618	chr10	11805222	648.898737084837	46.8300994484
220731_s_at	NECAP2	2.54002578327847e-10	1.89713835477365	chr1	16785768	257.915446778439	489.301286371957
208908_s_at	CAST	2.65374024519805e-10	-1.63139383364885	chr5	96108343	910.554729037396	558.145256072721
206538_at	MRAS	2.68928832811683e-10	-3.55507894445981	chr3	138091707	140.462772048011	39.510450890804
218953_s_at	PCYOX1L	2.87212101332488e-10	2.19499677075785	chr5	148747555	38.9760204399124	85.5522390025997
219130_at	TRMT13;LRRC39	3.29387336404495e-10	2.39534333101639	chr1	100614180	35.699540565935	85.5126564149615
202884_s_at	PPP2R1B	3.38672172598398e-10	-5.18646256868489	chr11	111631542	491.85801615733	94.8349688527779
213933_at	PTGER3	3.57517359897858e-10	-6.82988782322806	chr1	71472541	643.768934658649	94.2576146667046
215470_at	NA	4.17252902981146e-10	3.34952052721277	NA	NA	29.3998060903914	98.475253995841
218615_s_at	TMEM39A	4.28757254865667e-10	2.60989985634441	chr3	119149700	31.5337656068045	82.2999703271975
205372_at	PLAG1	4.35666026995798e-10	7.34615409113271	chr8	57073482	16.4699054742389	120.990463480149
210130_s_at	TM7SF2	4.85693280929281e-10	-8.45394856712737	chr11	64879986	438.52182372524	51.8718348288045
204041_at	MAOB	4.89631666625131e-10	-7.43108460028297	chrX	43625857	823.558019009497	110.826085734259
218007_s_at	RPS27L	4.96078335902994e-10	1.67147996205044	chr15	63446051	3123.0837188392	5220.17185584568
203888_at	THBD	4.96078335902994e-10	-5.06983423068526	chr20	23028376	888.417831487389	175.236071055385
201425_at	ALDH2	4.96078335902994e-10	-4.13500804320399	chr12	112247346	8000.57579163952	1934.83923321231
208757_at	TMED9	5.03920178600976e-10	1.95255724959158	chr5	177022267	243.727581763126	475.892056697013
204533_at	CXCL10	5.20976483485113e-10	9.22098090594289	chr4	76942357	20.1814634657011	186.092889271214
218739_at	ABHD5	5.84742685928425e-10	-5.24784474313589	chr3	43743706	677.451312782418	129.09134052956
203687_at	CX3CL1	5.84742685928425e-10	-3.60934536417277	chr16	57415941	100.336240433951	27.7990134803702
209045_at	XPNPEP1	5.84742685928425e-10	1.97254539068335	chr10	111624523	296.168539573722	584.205887601562
202503_s_at	KIAA0101	5.84742685928425e-10	9.83000729291073	chr15	64657789	5.34516056513468	52.5429673370527
213353_at	ABCA5	5.95819078218775e-10	-3.45104453067	chr17	67243176	74.0967225331291	21.4708103226775
218346_s_at	SESN1	6.00327787650976e-10	2.18839621002073	chr6	109307644	258.42754310002	565.54185588505
220266_s_at	KLF4	6.1300179398345e-10	-5.99903904391888	chr9	110249575	1191.57065785761	198.626921600966
200943_at	HMGN1	6.23714034164541e-10	1.83437954748021	chr21	40714554	1464.23712651813	2685.96663754603
202859_x_at	IL8	6.4731922442242e-10	-16.9095303806485	chr4	74608486	358.82963100115	21.2205556821258
61734_at	RCN3	6.55022618909878e-10	2.87965759863232	chr19	50046362	121.018554355382	348.491999624972
221246_x_at	TNS1	6.6185453524575e-10	-1.9915156706188	chr2	218664524	187.308460854138	94.0532196746094
214332_s_at	TSFM;AVIL	6.6185453524575e-10	6.38988754785925	chr12	58190819	15.9492737065326	101.914065454771
221203_s_at	YEATS2	6.64667303461118e-10	1.81277426642194	chr3	183529995	112.177190201105	203.351923676082
204239_s_at	NNAT	6.83385669652623e-10	-5.93076676218628	chr20	36151425	201.074974177549	33.9037062559219
202963_at	RFX5	7.07662005643957e-10	2.03652699764699	chr1	151313115	130.5232733152	265.814169927661
210933_s_at	B3GNT9	7.1322083469727e-10	2.84939829014582	chr16	67183118	47.2925352153813	134.755268979369
204825_at	MELK	7.1587375044493e-10	4.14833173467139	chr9	36677156	13.437555974556	55.7434398856737
205158_at	RNASE4;RP11-903H12.3	7.30463048139833e-10	-5.28306844478599	chr14	21167516	766.086049646343	145.007784330793
210507_s_at	MARS;AVIL	7.50956369278977e-10	4.42605482675316	chr12	57892202	21.4225873501675	94.8175461427499
212428_at	KIAA0368	7.77093055800278e-10	-1.7540364957265	chr9	114122964	543.095499593146	309.626111495588
201108_s_at	THBS1	7.77093055800278e-10	-8.0066773097352	chr15	39888557	729.343470318858	91.0919026837838
203804_s_at	LUC7L3	7.77093055800278e-10	2.31674896344879	chr17	48828354	332.583794204412	770.513160482931
206324_s_at	DAPK2	8.18461302299685e-10	-2.51561402183364	chr15	64200121	29.5692101320457	11.7542714722557
209920_at	BMPR2	8.29154617090625e-10	-2.01043469694235	chr2	203419974	50.3515659886467	25.0451139075672
209596_at	MXRA5	8.29154617090625e-10	5.47874915788515	chrX	3238048	322.784538886665	1768.45552060366
212094_at	PEG10	8.37271174119536e-10	10.4944731394323	chr7	94293074	14.7859070193832	155.170304057062
218039_at	NUSAP1	8.3999472510656e-10	4.37459202177248	chr15	41672441	26.9651482958527	117.961522600949
201947_s_at	CCT2	8.41601561623466e-10	5.37570720629286	chr12	69995074	1214.29162463094	6527.67623706959
202409_at	IGF2	8.77052719869919e-10	4.98071351024607	chr11	2150346	1627.82677195976	8107.73879544024
222077_s_at	RACGAP1	8.77559473029966e-10	3.26611685218713	chr12	50382944	31.1915529712366	101.875256805243
211819_s_at	SORBS1	9.03849735444335e-10	-6.1430559767986	chr10	97174250	51.7882704029704	8.43037579318287
209366_x_at	CYB5A	9.87753269748081e-10	-3.55683972547915	chr18	71920532	2671.94404676231	751.212945475738
203510_at	MET	9.93924258098156e-10	-3.75718371337964	chr7	116437155	106.011207438338	28.2156039005554
204485_s_at	TOM1L1;COX11	9.93924258098156e-10	-2.55054780728043	chr17	53038595	13.3768047316716	5.24467908168123
36554_at	ASMTL	9.93924258098156e-10	-2.39105541125869	chrX:chrY	NA	159.60035772126	66.7489163863598
210220_at	FZD2	9.93924258098156e-10	3.17692406978199	chr17	42634924	5.46597586046345	17.3649902759537
210833_at	PTGER3	9.93924258098156e-10	-1.97392402734482	chr1	71475667	9.92828755429914	5.0297212135636
209369_at	ANXA3	9.93924258098156e-10	-5.34929705978668	chr4	79531209	84.6097118027643	15.8169776060517
219681_s_at	RAB11FIP1	9.93924258098156e-10	-3.1458839021039	chr8	37718184	25.9044605718957	8.23439814627974
210947_s_at	DHFR;MSH3	9.95766301638198e-10	-1.92593450579465	chr5	79950485	86.7488662136101	45.0424798728121
208837_at	TMED3	9.98164344178906e-10	3.20530992597992	chr15	79614319	44.928575855486	144.010010149731
202759_s_at	PALM2-AKAP2;AKAP2	1.03627043941962e-09	-2.29964874121223	chr9	112930678	2889.39538144553	1256.45074817923
205863_at	S100A12	1.04185591080027e-09	-6.42113435425696	chr1	153346183	36.4047506915123	5.66952016311219
205792_at	WISP2	1.04185591080027e-09	-12.0084321968015	chr20	43355727	262.091149880921	21.8255926823428
211376_s_at	NSMCE4A	1.27096433786468e-09	-1.50292283036026	chr10	123721271	356.890676881065	237.464405804199
205480_s_at	UGP2	1.30327473065424e-09	-2.11874400180402	chr2	64112722	4253.97194214377	2007.78005201274
202310_s_at	COL1A1	1.36401421150237e-09	5.26561421223193	chr17	48260649	2490.64005216082	13114.7496562121
205027_s_at	MAP3K8	1.52555567644645e-09	-4.30160751343835	chr10	30749780	94.7586706451283	22.0286649465576
214043_at	PTPRD	1.54071054484328e-09	8.4702782789837	chr9	8314245	12.6379549193124	107.046995043827
218486_at	KLF11	1.5538143631584e-09	-3.13689410008323	chr2	10192851	401.36712682347	127.950486697278
202022_at	ALDOC	1.59856982529477e-09	-7.86331276792344	chr17	26900137	308.124071628421	39.1850204516018
219007_at	NUP43	1.62635809836855e-09	2.1942177629897	chr6	150046697	270.501292663691	593.538741274347
200642_at	SOD1	1.64241498989085e-09	-1.49615727181803	chr21	33040783	4719.45772693625	3154.38611690967
203529_at	PPP6C	1.65674306450079e-09	-1.63172754436302	chr9	127911406	678.895433951731	416.059308612546
203928_x_at	MAPT	1.65674306450079e-09	-2.28095118503709	chr17	44060543	17.1014726755252	7.49751804760658
218911_at	YEATS4	1.77564071949187e-09	8.27540285771099	chr12	69783926	13.4000340187357	110.89067981207
205207_at	IL6	1.91928134593987e-09	-19.5075094575262	chr7	22771024	1171.44005897895	60.050723621564
208790_s_at	PTRF	1.92660331502536e-09	-2.66721295437645	chr17	40555935	583.492717681249	218.764953403452
219440_at	RAI2	2.03069254591995e-09	-4.54943509621728	chrX	17818170	407.808256658412	89.6393174171213
213413_at	STON1	2.10943646637166e-09	-4.44865187885791	chr2	48824328	556.560112494433	125.107589366447
206359_at	SOCS3	2.13778000531886e-09	-7.39363795919338	chr17	76354382	1071.85434800223	144.969817824183
204417_at	GALC	2.23308909050018e-09	2.08931551683181	chr14	88399890	258.605299739113	540.308065479867
221479_s_at	BNIP3L	2.25532512192324e-09	-2.22176129992743	chr8	26267910	2469.92716598881	1111.69780753202
201946_s_at	CCT2	2.31353956459762e-09	7.09863972143533	chr12	69995074	420.339960840815	2983.84194253117
213557_at	CDK12	2.32474761943306e-09	2.3450803951134	chr17	37627131	16.102001466712	37.7604879616736
201984_s_at	EGFR	2.36450508784103e-09	-2.51016047540865	chr7	55272948	58.3783639762821	23.2568254293695
201035_s_at	HADH	2.56819618066563e-09	-3.45025539800848	chr4	108955394	999.059083413675	289.560907285398
222282_at	NA	2.568716464667e-09	2.89482331415383	NA	NA	27.5020021310202	79.6134369547854
221729_at	COL5A2	2.5822094086111e-09	2.88709291551551	chr2	189897239	1075.2376677985	3104.31105319645
220980_s_at	ADPGK	2.5822094086111e-09	1.63212239228633	chr15	73043707	264.301221294722	431.37194158374
203997_at	PTPN3	2.59333031307471e-09	-2.56892079058745	chr9	112141210	28.7629008372465	11.1964919053301
212327_at	LIMCH1	2.88404044004545e-09	-3.70569355852074	chr4	41699231	792.236845361432	213.789087751141
215775_at	NA	2.93554992025434e-09	-3.54123624736109	NA	NA	17.865792514621	5.04507219136664
212773_s_at	TOMM20	3.04869467171743e-09	-1.72342116339486	chr1	235275143	1586.93495517004	920.805075901494
212445_s_at	NEDD4L	3.0698964031141e-09	-2.21910656745122	chr18	56064362	11.081248130293	4.99356285670431
205220_at	RP11-324E6.6;HCAR3	3.12916372370392e-09	-11.0894273903862	chr12	123199669	479.663782874857	43.2541524453005
201473_at	JUNB	3.17885147983308e-09	-4.48725802340467	chr19	12902332	4087.43572780772	910.898305042509
204351_at	S100P	3.3268911084602e-09	-5.31287153532869	chr4	6698619	30.2738720582555	5.69821270040975
213644_at	CEP112	3.44790794331855e-09	-2.5692846789634	chr17	63631657	72.383245445749	28.1725283454976
215034_s_at	TM4SF1	3.48073072700484e-09	-4.74641801179136	chr3	149087457	1578.02427732369	332.466351131203
201749_at	ECE1	3.51689582217202e-09	-1.77359757871887	chr1	21545089	408.801079310865	230.492578596186
200596_s_at	NANOS1;EIF3A	4.26219701930004e-09	-1.68035667428178	chr10	120793181	819.4025994403	487.636114392516
218147_s_at	GNL3;GLT8D1	4.44263286813511e-09	2.20329065500004	chr3	52728503	196.773796297057	433.549866530187
200064_at	HSP90AB1	4.56743284530415e-09	-1.5400575612859	chr6	44220781	5988.18056291815	3888.2836028013
201890_at	RRM2	4.6612554434638e-09	6.17331447393971	chr2	10269931	6.77210519711821	41.8063350324122
211922_s_at	CAT	4.78464087635152e-09	-3.18774317850689	chr11	34477557	2320.35448099681	727.898814635261
212875_s_at	C2CD2	4.81627972407791e-09	-3.25900494065955	chr21	43308094	1409.09494444976	432.36968648614
207843_x_at	CYB5A	4.99271430996942e-09	-3.28020732456176	chr18	71920531	2611.94095858498	796.273131587481
218356_at	FTSJ2	5.04999546208698e-09	2.12655912083209	chr7	2273925	103.906589757056	220.963506162425
212328_at	LIMCH1	5.13539722434093e-09	-3.35332775597021	chr4	41699231	771.404217527653	230.041401755095
215485_s_at	ICAM1	5.13539722434093e-09	-2.55070771796363	chr19	10394708	301.856244504354	118.342153582906
209410_s_at	GRB10	5.13539722434093e-09	-2.21659948283529	chr7	50742132	51.0598915413199	23.0352357007719
213414_s_at	RPS19	5.22232646087716e-09	1.56959491771777	chr19	42373100	8162.99778072132	12812.5998299616
207196_s_at	TNIP1	5.48085013651948e-09	-2.27187486206565	chr5	150409509	1129.27805341824	497.068774462107
212550_at	STAT5B	5.55128486078058e-09	-1.70128124174697	chr17	40351194	139.207346079486	81.8250049806819
212001_at	SUGP2	5.55128486078058e-09	1.70749168018479	chr19	19103163	172.501518388543	294.544907467681
211700_s_at	TRO	5.65181819616202e-09	5.15331358256966	chrX	54949010	12.5459441303211	64.653184292944
201573_s_at	ETF1	5.78451544950168e-09	-1.98077431303824	chr5	137843114	484.945927995958	244.826442267475
203213_at	CDK1	5.85483266606004e-09	5.03986128647398	chr10	62553991	8.59851486459275	43.3353221872319
204745_x_at	MT1G	6.10232530727188e-09	-3.30052592548146	chr16	56700652	5331.97579455363	1615.492777496
217730_at	TMBIM1	6.21196068078767e-09	-1.89693259624703	chr2	219138919	1568.29231096962	826.751732809266
218810_at	ZC3H12A	6.65647207550662e-09	-4.53894707017481	chr1	37948337	24.626489421663	5.42559519662222
206373_at	ZIC1	6.81540399532942e-09	9.95773974438323	chr3	147127725	4.7003251428593	46.8046144865739
201358_s_at	COPB1	6.85050964245469e-09	1.50095308769502	chr11	14479095	1449.5595740215	2175.72091842546
219993_at	SOX17	7.01150182473524e-09	-4.79909431957135	chr8	55371617	91.4648504336637	19.0587732482477
201926_s_at	CD55	7.08245018224798e-09	-3.03731947725735	chr1	207497903	435.454824554163	143.368133584476
203887_s_at	THBD	7.08245018224798e-09	-6.2700710889702	chr20	23028376	707.043639662918	112.764852205056
218152_at	HMG20A	7.08245018224798e-09	1.86338637994381	chr15	77775311	142.539212039056	265.605626321498
222233_s_at	DCLRE1C	7.08245018224798e-09	2.15628919119832	chr10	14950186	17.4043604556042	37.5288343301387
207442_at	CSF3	7.30737923932428e-09	-7.26159967419535	chr17	38173047	41.5610080208606	5.72339565461736
210155_at	MYOC	7.30737923932428e-09	-7.89622047400194	chr1	171604709	62.3576587926549	7.89715269450308
210183_x_at	PNN	7.57259320679832e-09	1.27508850147466	chr14	39649706	2162.92447281855	2757.92012484907
219569_s_at	SLC35G2	7.65165473227091e-09	-2.2454280925287	chr3	136573284	285.887477723687	127.319809828216
202107_s_at	MCM2	7.87361690494319e-09	3.24867387070656	chr3	127340505	16.1214199860756	52.3732358674501
202147_s_at	IFRD1	8.05418244512457e-09	-2.468853289585	chr7	112090533	117.521502681524	47.6016550587656
64418_at	SYNRG	8.05418244512457e-09	1.60697706981074	chr17	35875139	97.3489037182263	156.437456046403
209386_at	TM4SF1	8.09352521886772e-09	-3.19751157860753	chr3	149086808	3890.83629476901	1216.83258969257
202464_s_at	PFKFB3	8.15852988372236e-09	-3.78028041085665	chr10	6275508	5307.14220714054	1403.90172959097
202669_s_at	EFNB2	8.22194225522569e-09	-3.23003812879823	chr13	107144619	58.3525857197521	18.0656027554272
218585_s_at	DTL	8.22194225522569e-09	5.15587502549483	chr1	212276183	7.22498764068306	37.2511333361066
212424_at	PDCD11	8.22194225522569e-09	1.9611092877638	chr10	105205134	44.6561980218452	87.5756846968604
221483_s_at	ARPP19	8.26694924194564e-09	-1.91522320955076	chr15	52841068	1602.36050710014	836.644261154284
200944_s_at	HMGN1	8.38846237365776e-09	1.74702036965173	chr21	40714554	1165.99408788682	2037.01542243175
205403_at	IL1R2	8.77593980011851e-09	-6.76434783800179	chr2	102626023	137.098096276467	20.2677478390831
