	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
rXwKUIKS74Cu1klEZA	NA	0.655625618131755	1.13	2817.89	3183.21	NA
964df114E6Fj6kySOk	RTN4IP1	0.655625618131755	-1.12	192.65	172.68	reticulon 4 interacting protein 1
KKt11U6aSJ7em.4lfw	NA	0.655625618131755	1.14	89.94	102.72	NA
Kobev3nqeV3TqCX8NE	C8orf31	0.655625618131755	1.13	82.26	92.66	chromosome 8 open reading frame 31
Kr5CeIE1IriHSET4C4	OSBPL2	0.655625618131755	-1.15	105.48	91.87	oxysterol binding protein-like 2
fr044RKF_3gTDj9AP4	SNORD107	0.655625618131755	1.13	85.51	96.5	small nucleolar RNA, C/D box 107
NovrfJZ5KJX3.e6PTQ	TMBIM4	0.655625618131755	1.14	8142.29	9268.03	transmembrane BAX inhibitor motif containing 4
36UASnSlAhdUJ7Ox9Q	DSCR3	0.655625618131755	1.14	173.24	198.19	Down syndrome critical region 3
Zi31BSJ_7JtI1_LjAo	NA	0.655727541563497	-1.13	85.27	75.22	NA
95wFeFd5qnl5an0XVU	ABCC3	0.655813538400434	1.13	80.79	90.93	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
NkLsYnuVBSYkXX0rx8	PABPC3	0.655813538400434	1.13	138.13	156.66	poly(A) binding protein, cytoplasmic 3
xXTqohknuRRCO7vAIk	UTP23	0.655813538400434	-1.11	203.51	182.86	UTP23, small subunit (SSU) processome component, homolog (yeast)
NLnrgCsqeLjxfJRKuk	EDEM1	0.655813538400434	-1.13	297.58	264.46	ER degradation enhancer, mannosidase alpha-like 1
6o5bRRSRGgcXVFV._w	CPSF1	0.655813538400434	1.13	186.54	210.45	cleavage and polyadenylation specific factor 1, 160kDa
ZUVT2vfeXhfQOVO_l8	SAP130	0.655943295210488	-1.11	224.26	201.57	Sin3A-associated protein, 130kDa
fervrt3CUj8NF7eiQo	NA	0.656093848516409	1.13	83.39	94.49	NA
rS4lENEUNHkdSXqQwI	MCM8	0.656184099912437	-1.16	1459.16	1258.52	minichromosome maintenance 8 homologous recombination repair factor
NX9XsXpJ93fpVEtEkc	PGP	0.65626554406895	-1.12	120.71	107.93	phosphoglycolate phosphatase
BUIc34npwSP10kpeoI	SCAPER	0.65626554406895	-1.11	88.63	79.53	S-phase cyclin A-associated protein in the ER
oqiRBSdReVBNEYIi0E	NA	0.65626554406895	1.14	82.78	94.69	NA
BvbSF1O9XbjVAYdHXw	DARS	0.65626554406895	-1.13	1640.65	1449.66	aspartyl-tRNA synthetase
uXhfoe.h5Any6XErp4	MKKS	0.656348954048673	1.13	322.08	363.26	McKusick-Kaufman syndrome
3jtH4VT87sokcRT6.U	SNX3	0.656348954048673	1.12	3026.25	3390.87	sorting nexin 3
iVogigks4UvaY4QiUo	DNAJB12	0.656348954048673	1.13	94.17	106.39	DnaJ (Hsp40) homolog, subfamily B, member 12
NfnM06.nOkSHSfJOqE	GPC6	0.656348954048673	-1.17	117.41	100.57	glypican 6
6pRqpEJAZH9dP33hCY	NA	0.656536612452851	-1.13	82.04	72.51	NA
TNIhRUhEIdXknueqyQ	NA	0.656536840639436	-1.11	91.06	81.9	NA
W665E3MtcnFUiniGoo	NA	0.656536840639436	-1.12	96.07	85.87	NA
lQqIKzLoOLuJNqf5LU	NEK3	0.656536840639436	-1.12	128.79	114.94	NIMA-related kinase 3
6ClSi6eid7ji7s13Q0	NA	0.656536840639436	-1.2	1043.45	871.67	NA
Q.DSReOH6Sh_VRSrek	COQ7	0.656587157933486	-1.11	109.64	98.49	coenzyme Q7 homolog, ubiquinone (yeast)
un61dZbSw7Un0dKWdE	NA	0.656587157933486	1.11	74.16	82.61	NA
oeJFTpLhSS4U00VDig	NA	0.656587157933486	1.15	84.15	96.58	NA
cel7jH6nuNdyJSfodE	RPAIN	0.656587157933486	-1.13	518.65	457.36	RPA interacting protein
fe9S7QeU7nefQqoHJc	PPP3R1	0.656705172336783	1.11	306.27	340.02	protein phosphatase 3, regulatory subunit B, alpha
Kei8oqXushJuDTgDCU	IKBIP	0.656705172336783	-1.11	228.59	205.46	IKBKB interacting protein
oKqRFFWlSjD.7P.KKo	NA	0.656705172336783	-1.12	81.23	72.31	NA
xgyyAFYT4799e_Qrqk	USP6NL	0.656705172336783	-1.13	82.99	73.36	USP6 N-terminal like
05zrV1ktKVU_XqeSUg	NA	0.656897261957062	1.12	90.72	101.29	NA
u7s8L4_7TS9EAwNNGc	LOC220729	0.656902272821476	-1.12	94.32	84.21	succinate dehydrogenase complex, subunit A, flavoprotein (Fp) pseudogene
0QG1Zl9SlkdSJQCJ1M	NA	0.656965000595283	-1.13	110.46	97.89	NA
cS1LgHuSoDgrIP_orA	C18orf32	0.656965000595283	1.19	146.57	173.72	chromosome 18 open reading frame 32
EZutCuiCSuS1NiRCeg	KCNQ4	0.656997666761154	-1.12	84.77	75.56	potassium channel, voltage gated KQT-like subfamily Q, member 4
6xSHWEQ6lFFLuEkoTU	LRMP	0.657145787112815	1.16	80.52	93.21	lymphoid-restricted membrane protein
uexR6lC5Lo07ew1yR4	GP6	0.657145787112815	1.13	77.4	87.34	glycoprotein VI (platelet)
3kq6fMXsNUke6itCGg	ZNF860	0.657265928640552	1.14	79.13	90.21	zinc finger protein 860
NVSwSOVvnfqev1XgRc	NA	0.657265928640552	1.14	77.76	89.03	NA
TcCnG31I6I4_9qQhL4	DPM1	0.657266027090568	1.12	1179.45	1318.47	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit
91r.DPno.nF.rx_5Ls	AKAP11	0.657266027090568	1.12	236.16	264.04	A kinase (PRKA) anchor protein 11
EdsnkwdSXuXqI0R5dc	NA	0.657266027090568	1.15	82.52	94.49	NA
EmSEYuVWH4lgXcljlo	NA	0.657266027090568	-1.14	93.31	81.73	NA
T6oto9KARVSilCXgBI	RHOBTB2	0.657355841330133	1.12	92.93	104.25	Rho-related BTB domain containing 2
ZpbcegA2Jd1RXS2TIc	HOXB2	0.657374275778919	1.14	274.81	313.03	homeobox B2
cvKKId_O0X0s34CatU	CUL4B	0.657460619477061	-1.14	231.18	203.59	cullin 4B
iVRaFvXlcfgV5lf6XA	ZNF414	0.657534787262763	1.13	102.51	115.57	zinc finger protein 414
fCKeqM.Snv6e1exVLU	UNC119	0.657534787262763	1.12	86.55	96.69	unc-119 lipid binding chaperone
HMZSG66dOXsNUmf6Ck	NA	0.657534787262763	1.16	2150.6	2500.45	NA
W1dN9Ls6vE8Ie1.UqU	NA	0.657678990483577	1.11	96.12	107.02	NA
0S9wUS0odYBBLKI7rk	RASSF9	0.657733862705991	1.12	79.15	88.89	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9
obshfUA7hLp7niF_.o	NA	0.657733862705991	-1.13	130.21	115.53	NA
Z56L7qk1dQpeHV.Rxc	ANKZF1	0.657733862705991	-1.11	133.23	119.65	ankyrin repeat and zinc finger domain containing 1
ulUaBHPXMIyeAgnnuI	SAR1A	0.657733862705991	1.14	391.6	444.93	secretion associated, Ras related GTPase 1A
chXqFfDfq_ki7gqkIk	TMEM86A	0.657733862705991	-1.13	78.01	69.15	transmembrane protein 86A
Bq36IuOQguDVVBSRSE	HAX1	0.657733862705991	1.13	169.02	190.38	HCLS1 associated protein X-1
fG2xeGeJe04g5BKJAU	CDC42EP2	0.657794977197504	1.14	125.25	142.87	CDC42 effector protein (Rho GTPase binding) 2
QGintXJEpSrt_odg1c	NA	0.657813436927287	1.16	91.49	105.99	NA
oZdLldJxupNkdHf0oM	SLC35E4	0.657813436927287	-1.14	160	140.08	solute carrier family 35, member E4
0Tqer.ufHs76YfrKko	HLX	0.657947453612984	-1.15	120.88	104.82	H2.0-like homeobox
rffpSqAoUQpDeq7oSE	CALHM2	0.658205163143698	-1.15	131.47	114.7	calcium homeostasis modulator 2
cqd_MCjUDAZfrooUjg	AKT3	0.658407728962422	1.12	92.33	103.06	v-akt murine thymoma viral oncogene homolog 3
o7V4oNI60xJTKRUVgM	C2orf68	0.658572148618553	-1.11	84.41	75.8	chromosome 2 open reading frame 68
3BOklUCeJClAhKv9QU	MTMR14	0.658572148618553	-1.12	135.77	121.17	myotubularin related protein 14
ufTjos7SZ7Agvfi6bs	C9orf85	0.658833514895282	1.13	115.39	130	chromosome 9 open reading frame 85
ulvUn5UkRAC0SjP0p0	ZNF654	0.658833514895282	1.1	89.24	98.53	zinc finger protein 654
QkELSU0lEUmgOfKiCU	ZNF589	0.658833514895282	-1.13	98.99	87.63	zinc finger protein 589
HWKRCSISOyFf1dSLRk	MRPL36	0.658846001640059	-1.12	3007.35	2685.2	mitochondrial ribosomal protein L36
0KTv8YSCCXwhFOv0o4	NA	0.658975542367818	1.13	94.36	106.76	NA
cn4H6iuilCPsUez1JU	OPA3	0.659029075518486	-1.12	163.22	146.06	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)
6uYLgob_76CV6zVaR0	NA	0.659165643836368	1.12	86.56	97.15	NA
BF69XUBdUlHan7B7eI	PMM2	0.659236214827553	-1.16	266.69	230.72	phosphomannomutase 2
ipKCK_S4tCNkUeR1Jc	NA	0.659300810034329	-1.15	2258.38	1959.57	NA
0VUoQQHlfCLT9fvNEo	C2CD5	0.659300810034329	-1.13	212.84	188.31	C2 calcium-dependent domain containing 5
Hh4IJLUdU7BTgIiUiI	OLFM1	0.659300810034329	1.19	83	98.84	olfactomedin 1
Nnunn0fI5LiETL671g	ERRFI1	0.659344175854622	1.19	482.1	571.68	ERBB receptor feedback inhibitor 1
N65ZLh46gYyqgbfEHY	NA	0.659344175854622	-1.11	91.25	82.21	NA
oSgf4XQgk7WQnkYSSU	FEZF1	0.659598339406634	1.11	84.88	94.47	FEZ family zinc finger 1
fHgztF_dUIRpXdKCdU	PLOD3	0.659907458040424	1.12	1617.39	1805.67	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3
rXn9R0U33pflDpeSec	VENTXP7	0.659907458040424	1.11	81.24	90.3	VENT homeobox pseudogene 7
fqcPeoKiL3_eVe3oIY	LRP1	0.659907458040424	1.15	77.45	88.82	low density lipoprotein receptor-related protein 1
9WQUXkBSBh3IP19VlU	ETV6	0.659907458040424	-1.12	104.05	92.5	ets variant 6
9SglU_S0A17T7SKj6Q	NA	0.659911416982805	1.12	80.48	90.25	NA
0oRJfSoteAiApQ0eeE	TAF1B	0.659911416982805	-1.13	172.41	153.18	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa
EqhF_Sg7mi6JwaiaMg	NA	0.659939894855784	-1.11	94.65	85.26	NA
cIjQrX9YQngop4h2p4	TPM1	0.659939894855784	1.23	1254.61	1547.93	tropomyosin 1 (alpha)
ffgeO0kVi6deD8LeoY	G3BP2	0.65998498714155	1.13	202.09	228.12	GTPase activating protein (SH3 domain) binding protein 2
lbhxZeZRduX9.NxJp8	UNC93B1	0.660610313637395	-1.12	87.73	78.11	unc-93 homolog B1 (C. elegans)
cur8tN2gtsqSc6AUeo	ZNF500	0.660610313637395	1.14	227.41	259.18	zinc finger protein 500
0R5IBLkj1RNxJ0kVHk	NA	0.660610313637395	1.14	89.91	102.76	NA
oNmLqCtdWa11q039dc	NA	0.660610313637395	1.12	101.07	112.89	NA
NZbp3Se0O5HeWWSRR4	CGB5	0.660610313637395	-1.16	66.25	57.07	chorionic gonadotropin, beta polypeptide 5
uZ9JoElQgH17r0hF_s	NA	0.660648906801917	1.12	78.88	88.6	NA
9CSiaRh6hx5iRZhzuM	NDUFB7	0.660648906801917	1.14	651.63	740.07	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa
BogOeUKUoEoLef54Io	AFP	0.660648906801917	-1.11	148.79	133.92	alpha-fetoprotein
lmgFSKz4YSr0yCvQiU	NA	0.660648906801917	1.15	97.1	111.78	NA
WSkjjkiiYniZdSYgvg	NA	0.660648906801917	-1.13	295.9	261.43	NA
3wjozj9AAypama6dGU	ZMAT3	0.66070603873412	-1.21	5391.49	4445.37	zinc finger, matrin-type 3
TlVAKUU3o99e932gNY	NA	0.660740703950325	1.13	61.3	68.96	NA
iIIkxQ5DKR3Uaa.hJQ	ACOT13	0.660747452795048	1.15	518.19	595.43	acyl-CoA thioesterase 13
lo7p6duoBJAEcJeF3U	TEAD1	0.660890798477195	-1.17	72.86	62.52	TEA domain family member 1 (SV40 transcriptional enhancer factor)
B5N5Sh75SiRLpRFMt0	TRIM16	0.660964438503812	-1.11	115.82	104.24	tripartite motif containing 16
N7qn1SJTiigupSgoNA	NA	0.661242068692551	1.14	80.69	91.67	NA
3opATgnU13UPeqQW7o	NCOR1P1	0.661242068692551	-1.12	169.82	151.74	nuclear receptor corepressor 1 pseudogene 1
Q_UqYppVDhI.V.IVJI	FBXO7	0.661380342516843	1.1	240.12	264.98	F-box protein 7
KI25R5HQl6uEiYB1t0	NA	0.661390177860563	1.11	3225.81	3585.23	NA
HqKQR57UThdT9UC13k	PDGFB	0.661390177860563	-1.11	89.78	80.52	platelet-derived growth factor beta polypeptide
BDbV7_qEjL8ecOq6Ko	NA	0.661390177860563	-1.13	99.76	88.16	NA
cCq7OKl4DO4QODuLFU	GGCT	0.661390177860563	1.13	257.56	291.6	gamma-glutamylcyclotransferase
NXIyOSLuoQIQUkT5wk	NA	0.661471080975593	1.12	78.61	88.17	NA
rSQngp84sxRTGSoiqI	KCNV2	0.661649259228689	1.12	65.94	73.65	potassium channel, voltage gated modifier subfamily V, member 2
rOEiPuJbu2CYCepZRs	UBA1	0.661649259228689	-1.11	1299.86	1170.63	ubiquitin-like modifier activating enzyme 1
HiCg3odVNVUUowC14U	C19orf66	0.661649259228689	1.12	67.28	75.11	chromosome 19 open reading frame 66
ovLOgn7f539453QHk0	RARB	0.661649259228689	1.12	74.84	83.96	retinoic acid receptor, beta
HokXle5UEc1yOf6Kug	NA	0.661649259228689	-1.11	101.23	90.99	NA
KZTRJ4H74jVbvHlzSQ	STAT1	0.661649259228689	-1.14	560.79	491.86	signal transducer and activator of transcription 1, 91kDa
f9c2p1eap.d0cQtCfo	RAB3B	0.661649259228689	-1.13	139.58	123.44	RAB3B, member RAS oncogene family
6pSnhzgiuCAieBPeC0	CUX1	0.661649259228689	1.14	73.62	83.86	cut-like homeobox 1
NdK3qgt7npN10_5fTQ	ORAOV1	0.661649259228689	-1.14	143.03	125.06	oral cancer overexpressed 1
NgashCh4j5d4fXXVeo	HDAC3	0.661649259228689	-1.15	512.36	446.77	histone deacetylase 3
ZkuqCT.geOPrh1aHLo	TEFM	0.661649259228689	1.14	194.48	220.96	transcription elongation factor, mitochondrial
T5AHIUu5HRJIEILTto	NA	0.661649259228689	-1.14	88.86	78.29	NA
xiFIqhoJPmXmaB3SXc	TSSK6	0.661649259228689	1.13	82.67	93.8	testis-specific serine kinase 6
ZHXoIK59N3kufoFeng	NA	0.661649259228689	1.14	80.29	91.82	NA
lnelfn.xXUicIrJIt0	THRSP	0.661649259228689	1.13	77.89	87.7	thyroid hormone responsive
inMkFQOhwgBFIpTFww	NA	0.661675509925039	1.12	77.99	87.44	NA
9tHlStR_K3xeV4JEp8	CMTM4	0.661675509925039	1.13	87.97	99.68	CKLF-like MARVEL transmembrane domain containing 4
9epLgujNHgojKCUhxE	ATF4	0.661908110819937	-1.15	297.47	258.46	activating transcription factor 4
xfcujvkdAankiOifSk	TGIF1	0.661908110819937	-1.14	453.62	398.91	TGFB-induced factor homeobox 1
onrSJFCT0t3dfl.t8c	NGFRAP1	0.661908110819937	1.14	103.45	117.77	nerve growth factor receptor (TNFRSF16) associated protein 1
36UM.uV3ofyyn_sDuI	PCNXL4	0.662049994191276	-1.14	304.14	266.82	pecanex-like 4 (Drosophila)
Hekkk1YiRNN1El6wPU	STEAP3	0.662075354763937	1.14	137.45	156.93	STEAP family member 3, metalloreductase
0SJJdhnOiiVrnFXSVw	CTAGE15	0.662075354763937	1.16	77.07	89.65	CTAGE family, member 15
lRy_KLIIo4UnIdU6D4	ATPIF1	0.662321582665083	-1.12	168.32	150.94	ATPase inhibitory factor 1
lLU566wFewBx4i6Cqs	ZNF227	0.662392259213174	-1.16	153.67	132.8	zinc finger protein 227
oU.VH5F9O96RS6NJ_k	HINT3	0.66241123318037	1.12	103.24	115.33	histidine triad nucleotide binding protein 3
0uudhh1fRtSlFxN2rg	AMDHD2	0.66241123318037	-1.13	123.03	108.89	amidohydrolase domain containing 2
iRKiUuK1Sy3AEvTu9E	FRA10AC1	0.66241123318037	1.12	99.07	110.53	fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1
6nHehkkpBIq856D2u4	DST	0.662512624224061	-1.15	91.7	79.93	dystonin
EKfQgqetcIqpIDg4Uo	MYO1B	0.662541704288317	1.13	301.03	341.32	myosin IB
u33u1cKXrEuUJEx_s0	ERO1A	0.662552585995424	1.13	242.14	273.66	endoplasmic reticulum oxidoreductase alpha
u826XdklaokbZd_Adg	TCP10	0.662760554106041	-1.12	84.82	75.74	t-complex 10
WUEHhEHXwnuv0t3nL0	GMFB	0.662807076570641	1.13	475.26	534.89	glia maturation factor, beta
ri7UigEgKDi7uG_eRk	GLOD4	0.662807076570641	1.13	365.45	411.36	glyoxalase domain containing 4
6WeyDRQEOXUDV0KLSU	NA	0.663004513520959	1.12	88.67	99.25	NA
ZSUd4kjeB87S0dUMSo	TIGAR	0.663262926489463	-1.11	185.68	167.59	TP53 induced glycolysis regulatory phosphatase
EX7x8qtKjCjrIvj4pU	NA	0.66355358901594	1.14	92.44	105.18	NA
Qg7RNZUhJ3_OKuOoHg	CNOT6	0.66373203109543	1.13	220.68	249.12	CCR4-NOT transcription complex, subunit 6
NG_Lp56Od7GoK14aOI	PYCARD	0.663791483570595	-1.13	155.1	136.85	PYD and CARD domain containing
oQuEsSJEkmF_peAkuo	POLR1A	0.663791483570595	-1.12	77.76	69.52	polymerase (RNA) I polypeptide A, 194kDa
6iKQ0qr7MeR6PZSIKg	SPATS2	0.663791483570595	-1.11	171.79	154.53	spermatogenesis associated, serine-rich 2
E6p0qXfxTuS4U.dIko	TECPR1	0.663791483570595	-1.14	100.09	87.47	tectonin beta-propeller repeat containing 1
66sTpWS6f_VSAqgKBE	EEF2	0.663791483570595	1.13	3687.52	4153.06	eukaryotic translation elongation factor 2
ZqeHgXOnCD7hHdO.Qk	NA	0.66381221581934	-1.16	84.94	72.97	NA
6jqJ_.d3k_7Li67RUo	NA	0.66381221581934	-1.12	123.5	109.86	NA
QukxEiSW7kgU4wVQOo	ABCB7	0.663825252920189	1.11	200.19	222.99	ATP-binding cassette, sub-family B (MDR/TAP), member 7
x9JfL65dfL_p1.uMKo	PABPC5	0.663825252920189	-1.12	119.52	106.55	poly(A) binding protein, cytoplasmic 5
EuJVA1iKk4AqyBRIeI	KDELC1	0.663841728786795	-1.12	135.47	121.44	KDEL (Lys-Asp-Glu-Leu) containing 1
QV_Xksve.XsgC6MCLU	DCAF17	0.663841728786795	-1.12	85.96	76.65	DDB1 and CUL4 associated factor 17
lfg7eLirXnyd.pe4jk	PQLC1	0.663841728786795	-1.11	866.16	780.19	PQ loop repeat containing 1
KVQQQT1SSFB1RVd.is	PLP2	0.663841728786795	-1.12	212.56	189.44	proteolipid protein 2 (colonic epithelium-enriched)
uG6fywkhQmfbpKgJJs	PTTG1IP	0.663841728786795	1.14	700.37	800.49	pituitary tumor-transforming 1 interacting protein
KKEAEJAQAVeeST9K5I	LPPR4	0.663841728786795	-1.13	78.29	69.21	lipid phosphate phosphatase-related protein type 4
BXCtIkmIxVF1dBdNd0	RNASE1	0.663841728786795	-1.13	88.63	78.45	ribonuclease, RNase A family, 1 (pancreatic)
xnL3utKaRQ4gKDkhXU	RFX5	0.663869986923629	-1.13	285.52	252.22	regulatory factor X, 5 (influences HLA class II expression)
ZKiQVSjJwu87DOXIK4	PLA2G12A	0.663891245573912	1.11	86.27	95.72	phospholipase A2, group XIIA
El8P1762jT_SS9y9eE	KIAA0895	0.663891245573912	1.11	83.57	93.17	KIAA0895
9pF0lKrslCyEDoNe54	PRICKLE4	0.663954686130125	1.16	3265.57	3778.6	prickle homolog 4
cvteCGqcjPqIBAugjk	C6orf203	0.663954686130125	1.12	109.97	123.62	chromosome 6 open reading frame 203
rcD_OeC5yXCdHBeUHw	NA	0.664082242805882	-1.11	93.18	84.26	NA
lpfPUeeqPju6iRnxxc	SOD2	0.664082242805882	-1.35	879.3	650.67	superoxide dismutase 2, mitochondrial
HdaIqOmq7aYvR56ES8	ABCG1	0.664082242805882	1.13	80.37	91.14	ATP-binding cassette, sub-family G (WHITE), member 1
3X9XoONaDoYReJ3d5Q	NA	0.664152879247222	-1.13	79.22	70.27	NA
lks1Li4IEfh4d_pRd4	PROSER1	0.664466756665152	-1.13	153.75	135.8	proline and serine rich 1
0ilKeA7TN4KCAkknoQ	ANKRD27	0.664776296718068	-1.15	104.6	91.21	ankyrin repeat domain 27 (VPS9 domain)
WpnySCQ6hCztx5J.eg	NA	0.665231806600899	-1.13	86.53	76.72	NA
BieVHjhhHziiRIYjCk	RNF181	0.665231806600899	-1.12	1263.32	1124.95	ring finger protein 181
KDct6V64dGX9opIrqI	APOBEC3D	0.665482647828761	-1.12	88.37	79.2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3D
6ceCiQjaQlURbV_Qpg	NA	0.665528584648156	-1.12	2007.34	1795.96	NA
3tH0U0E9eVSOn_49XU	TRIM21	0.665528584648156	1.13	119.55	134.67	tripartite motif containing 21
6qX7Kf6SsIqVCsIGIk	FAM131A	0.665528584648156	1.12	135	151.67	family with sequence similarity 131, member A
EFp8uKI2IILpKJ6IJ4	TRIOBP	0.665528584648156	-1.13	101.93	90.47	TRIO and F-actin binding protein
BXIqkAjouJRKC.qm64	GAL3ST4	0.665704969086724	1.12	103.83	116.42	galactose-3-O-sulfotransferase 4
QVULX_Q.fV5XEyqa6s	NAB2	0.665861840631549	1.11	155.87	172.64	NGFI-A binding protein 2 (EGR1 binding protein 2)
ikr9cEiDUDcKKgRE78	NA	0.665873797418073	1.14	82.83	94.43	NA
rFoQSUuQr0mXYwS1Bk	NA	0.666127148781186	1.12	72.38	81.1	NA
Zq7IiDoqhQAi19eq7o	ADRA2B	0.666223594758667	-1.12	97.74	87.44	adrenoceptor alpha 2B
i7C5LqrCS17i6ZOBno	CFAP20	0.666223594758667	-1.13	383.67	338.95	cilia and flagella associated protein 20
6Shc2_K.cIfHOp7AXs	GPAM	0.666271924262655	1.22	205.07	249.68	glycerol-3-phosphate acyltransferase, mitochondrial
9jSsipKA7IOn4EHF04	LINC00476	0.666458838437189	1.13	88.94	100.08	long intergenic non-protein coding RNA 476
9UjGvQtRHgiQSCLTV0	KMT2C	0.666529461099142	1.12	94.15	105.28	lysine (K)-specific methyltransferase 2C
QgSJ._906elecXWKRU	SLC22A7	0.666549270335651	1.13	88.74	100.03	solute carrier family 22 (organic anion transporter), member 7
u6kqnUKKpTegH7oSII	ANGPTL4	0.666549527440109	1.19	61.46	73.14	angiopoietin-like 4
oZYzd5auHJ59f3d2Zk	RPS21	0.666549527440109	-1.13	1508.97	1333.38	ribosomal protein S21
xiBIDLpPk5UkI2pXxU	MCUR1	0.666549527440109	-1.12	469.13	418.1	mitochondrial calcium uniporter regulator 1
fV6AnVYQXUeU8VHKQs	NA	0.666549527440109	-1.12	91.74	81.71	NA
W59dKlRT4Ir48JQULs	HSPA8	0.666549527440109	-1.14	4069.01	3576.95	heat shock 70kDa protein 8
BkpTml3tE3HQd574Tk	ATG4A	0.666549527440109	1.13	193.96	219.02	autophagy related 4A, cysteine peptidase
HkJLDAt1fAORXX1F6U	IFNAR2	0.666549527440109	-1.13	89.99	79.76	interferon (alpha, beta and omega) receptor 2
63kISnSUx3xzTklKpY	PIGO	0.666583204854324	-1.12	113.58	101.58	phosphatidylinositol glycan anchor biosynthesis, class O
TeOJBekRAc4khR9J_I	NA	0.666624991446673	1.12	598.2	667.28	NA
o_qgv125H_rd8d5k7o	NA	0.666673304377188	-1.12	87.04	78.01	NA
6kkqsfQMp6M7untde0	NA	0.666764043274892	-1.11	144.73	129.84	NA
r3uZeZdoiQuCiTTq.4	UNKL	0.66678932769225	-1.11	260.63	235.26	unkempt family zinc finger-like
uLh6OqBuSQQEduR0hU	NA	0.666934686520816	1.12	94.13	105.42	NA
WotSXqQDJiIV4N4Cw4	METTL2B	0.666934686520816	-1.13	70.61	62.41	methyltransferase like 2B
rVd_EdHv1WInBzXhsY	NA	0.666934686520816	1.11	251.95	279.89	NA
Qjr9I_fl3.d.cXxKnU	C5orf51	0.666934686520816	1.13	296.31	335.48	chromosome 5 open reading frame 51
Z8.fXtnxFYrqovqnRI	ZBTB7B	0.666934686520816	-1.11	89.46	80.67	zinc finger and BTB domain containing 7B
HIpEiARjQgBehAhkKI	DDX53	0.666934686520816	1.11	76.25	84.99	DEAD (Asp-Glu-Ala-Asp) box polypeptide 53
xX1JAXgG4qI6PDuLBI	CNOT8	0.666934686520816	1.12	127.23	143.13	CCR4-NOT transcription complex, subunit 8
3wUi8UqSSacQfWlRI4	PHF1	0.666934686520816	1.12	102.3	114.45	PHD finger protein 1
6ldJjE5ECO9y8qnD_k	METTL10	0.666934686520816	1.12	111.11	124.16	methyltransferase like 10
oIQ5Fye5CFy53wlwOU	PRKD1	0.666934686520816	-1.16	108.23	93.21	protein kinase D1
QKA.qSgKgdEu2g5eiQ	TYW3	0.666934686520816	-1.13	178.23	157.36	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae)
NSKe6JirLKJ.1SLnuE	MOB3C	0.666934686520816	-1.12	92.09	82.41	MOB kinase activator 3C
l50ZnR14UTkb1cjkh4	IP6K1	0.666934686520816	1.12	234.81	262.68	inositol hexakisphosphate kinase 1
Be1eulA6Kcs90Bek64	NA	0.666934686520816	1.11	97.12	108.21	NA
3ukv9wB4QUrqFAvzuU	PTBP2	0.666934686520816	1.16	139.44	161.3	polypyrimidine tract binding protein 2
ZfdQLR0SCk1R0F0X6o	NA	0.666934686520816	-1.12	93.93	83.51	NA
cXhBQH5fxVNXIPrnfo	MXD1	0.666934686520816	1.15	71.65	82.32	MAX dimerization protein 1
un7lSifo.CvLBJzjiI	NA	0.666934686520816	1.15	70.27	80.75	NA
cZ3e3p7G3rvdDn.ckE	GAD1	0.666934686520816	1.13	135.53	152.59	glutamate decarboxylase 1 (brain, 67kDa)
3SDXYNXJJS1ecfa_XY	ZNF688	0.666934686520816	-1.15	100.31	87.51	zinc finger protein 688
QrjxXuzCLO7dHkX0Ok	RAP1A	0.666934686520816	-1.12	87.63	78.28	RAP1A, member of RAS oncogene family
lmXUpQgoovTQh.NQoo	RPL19P9	0.666954656095309	-1.15	2223.04	1940.78	ribosomal protein L19 pseudogene 9
E1xFxd3ep9z9hZjjuk	FTL	0.666954656095309	1.11	7922.84	8814.92	ferritin, light polypeptide
HcBEfZ51WMgIbqNB6I	ZNF277	0.666954656095309	1.12	218.46	245.43	zinc finger protein 277
xoSQOLTiuo.QQt5LQQ	LRRIQ3	0.666954656095309	1.12	91.84	102.87	leucine-rich repeats and IQ motif containing 3
TgKovwl.k74T719VmU	NA	0.667040212968119	-1.14	99.21	87.1	NA
cMniVI7195NdYNUqeo	ARSB	0.667196717794169	1.13	92.41	104.05	arylsulfatase B
NigCPyE.QiSr6Upmuk	RAB27A	0.667387458812171	-1.12	112.38	100.38	RAB27A, member RAS oncogene family
l4ueL12VJlN9XVLN.k	GNL1	0.667441795561177	1.11	186.35	207.67	guanine nucleotide binding protein-like 1
T06aXuFCtqii6JzX1M	SYF2	0.667641910020027	1.12	238.02	266.94	SYF2 pre-mRNA-splicing factor
Z1pAopNZalXVYKmq1E	NA	0.667641910020027	-1.11	96.8	87.07	NA
